date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,sum
2017/1/1,2956,2865,2757,2675,2604,2563,2579,2600,2549,2533,2557,2573,2568,2549,2540,2561,2633,2836,3226,3330,3320,3268,3216,3082,66940.00 
2017/1/2,2875,2677,2532,2442,2419,2422,2522,2623,2683,2767,2887,3010,3017,2986,2963,2983,3042,3208,3528,3585,3558,3510,3381,3159,70779.00 
2017/1/3,2907,2686,2559,2482,2451,2500,2652,2913,3087,3228,3297,3335,3352,3336,3329,3344,3341,3428,3672,3686,3659,3578,3436,3211,75469.00 
2017/1/4,2938,2731,2588,2501,2469,2505,2641,2881,3032,3206,3277,3340,3359,3330,3306,3307,3303,3400,3650,3640,3593,3510,3363,3113,74983.00 
2017/1/5,2874,2646,2518,2441,2401,2433,2576,2833,3033,3201,3324,3380,3395,3347,3300,3302,3305,3360,3605,3579,3500,3404,3260,3023,74040.00 
2017/1/6,2792,2589,2468,2392,2356,2424,2609,2852,2999,3110,3177,3187,3177,3152,3140,3144,3166,3258,3530,3541,3471,3401,3287,3107,72329.00 
2017/1/7,2907,2702,2553,2468,2423,2417,2468,2570,2647,2787,2896,2991,2989,2942,2901,2868,2887,3032,3243,3285,3230,3188,3087,2923,68404.00 
2017/1/8,2752,2591,2466,2372,2312,2308,2340,2417,2421,2496,2545,2593,2625,2646,2670,2684,2731,2860,3191,3252,3222,3160,3025,2810,64489.00 
2017/1/9,2597,2413,2320,2273,2270,2369,2562,2869,3071,3233,3349,3416,3372,3323,3295,3275,3264,3347,3597,3607,3545,3520,3313,3097,73297.00 
2017/1/10,2850,2591,2470,2400,2384,2434,2617,2954,3163,3292,3345,3400,3400,3393,3365,3366,3381,3487,3723,3714,3671,3589,3462,3225,75676.00 
2017/1/11,2926,2663,2526,2437,2404,2454,2620,2943,3147,3239,3249,3249,3250,3228,3226,3230,3218,3281,3527,3553,3509,3442,3301,3100,73722.00 
